Date,Value
2020-11-03,258814479656.25003
2020-11-02,251880481246.87497
2020-11-01,255865110850.0
2020-10-31,255371146043.75
2020-10-30,250766659162.5
2020-10-29,249534840618.75
2020-10-28,244060036400.00003
2020-10-27,253802265407.05917
2020-10-26,240633708850.0
2020-10-25,241505205209.375
2020-10-24,242358113150.00003
2020-10-23,238647990437.5
2020-10-22,241260646000.0
2020-10-21,238368694612.5
2020-10-20,220029297206.25
2020-10-19,217064696915.62497
2020-10-18,212090798056.25
2020-10-17,210147929293.75
2020-10-16,210403973546.875
2020-10-15,213875445609.375
2020-10-14,210893244975.0
2020-10-13,211679413350.00006
2020-10-12,216397495703.125
2020-10-11,210490426768.75
2020-10-10,209249257593.75
2020-10-09,204916592031.25
2020-10-08,201452078906.25
2020-10-07,197231308718.75003
2020-10-06,195759710900.0
2020-10-05,198970943750.0
2020-10-04,197101345356.25
2020-10-03,195664662796.875
2020-10-02,194711536593.75
2020-10-01,195488800750.0
2020-09-30,198858945078.125
2020-09-29,198403108593.75003
2020-09-28,201076530046.875
2020-09-27,198617896499.99997
2020-09-26,198236005031.25
2020-09-25,198217312481.25
2020-09-24,197382129312.50003
2020-09-23,190658048556.25
2020-09-22,193841208772.6329
2020-09-21,193749659062.5
2020-09-20,201749050349.99997
2020-09-19,204696226725.00003
2020-09-18,201329964034.375
2020-09-17,201530720100.0
2020-09-16,204625348262.5
2020-09-15,200520023915.625
2020-09-14,197108447428.125
2020-09-13,190764407487.5
2020-09-12,193248922862.5
2020-09-11,190806474468.75
2020-09-10,190594038903.125
2020-09-09,189790181296.875
2020-09-08,186821597218.75
2020-09-07,187699917356.25
2020-09-06,189056312446.875
2020-09-05,186533999184.375
2020-09-04,194914899437.5
2020-09-03,198213317484.375
2020-09-02,210713516640.625
2020-09-01,221124544656.25
2020-08-31,216208638675.0
2020-08-30,215216585512.5
2020-08-29,212770312631.24997
2020-08-28,212122896703.125
2020-08-27,208166391206.25
2020-08-26,211933902600.0
2020-08-25,207324652762.5
2020-08-24,217087879593.75
2020-08-23,215652840631.25
2020-08-22,214950070412.5
2020-08-21,214653571846.875
2020-08-20,218733693656.25
2020-08-19,216581336356.25
2020-08-18,221381096896.875
2020-08-17,228045158700.0
2020-08-16,218322905625.0
2020-08-15,220592534896.875
2020-08-14,217570274015.625
2020-08-13,216941479300.0
2020-08-12,213532193700.0
2020-08-11,209738182981.25
2020-08-10,219360256500.0
2020-08-09,215836542534.375
2020-08-08,215925255000.0
2020-08-07,213709731637.5
2020-08-06,217473245343.75
2020-08-05,215227627200.0
2020-08-04,206842926437.5
2020-08-03,210880561225.0
2020-08-02,206267366500.0
2020-08-01,217603596000.0
2020-07-31,209854370837.5
2020-07-30,202869026671.875
2020-07-29,208072854000.0
2020-07-28,201512512656.25
2020-07-27,201004959712.5
2020-07-26,182607360825.0
2020-07-25,179020801481.25
2020-07-24,176052376406.25
2020-07-23,176733452500.0
2020-07-22,173027927953.125
2020-07-21,172567968781.25
2020-07-20,169305500234.375
2020-07-19,168781230421.875
2020-07-18,169107019078.125
2020-07-17,168656485612.5
2020-07-16,168420047300.0
2020-07-15,169849897012.5
2020-07-14,170579155512.5
2020-07-13,170349814775.0
2020-07-12,169565602500.0
2020-07-11,169751069271.875
2020-07-10,170102381312.5
2020-07-09,170248867959.375
2020-07-08,173610804881.25
2020-07-07,170184498650.0
2020-07-06,172009679884.375
2020-07-05,166214145837.5
2020-07-04,168122280425.0
2020-07-03,167513576081.25
2020-07-02,166748306375.0
2020-07-01,170203398750.0
2020-06-30,168019714350.0
2020-06-29,168822137800.0
2020-06-28,167672237200.0
2020-06-27,165933115500.0
2020-06-26,168558673275.0
2020-06-25,170813539725.0
2020-06-24,171182903946.875
2020-06-23,177324650971.875
2020-06-22,176191002387.5
2020-06-21,171819140968.75
2020-06-20,170651089459.375
2020-06-19,171545023628.125
2020-06-18,172991118234.375
2020-06-17,172994154900.0
2020-06-16,174651676434.375
2020-06-15,173842603906.25
2020-06-14,172702437796.875
2020-06-13,173170556100.0
2020-06-12,173436246150.0
2020-06-11,171551013562.5
2020-06-10,179828208662.5
2020-06-09,180307247681.25
2020-06-08,178576204975.0
2020-06-07,179791095703.125
2020-06-06,178317880312.5
2020-06-05,177865606050.0
2020-06-04,181513287175.0
2020-06-03,175968282543.75
2020-06-02,174736818065.625
2020-06-01,189811797862.5
2020-05-31,174060140671.875
2020-05-30,175364656000.0
2020-05-29,173508230062.5
2020-05-28,174079136831.25
2020-05-27,167618968650.0
2020-05-26,162425788875.0
2020-05-25,161967612843.75
2020-05-24,166392594015.625
2020-05-23,168792982921.875
2020-05-22,168979983000.0
2020-05-21,167558481406.25
2020-05-20,175914244687.5
2020-05-19,178086135093.75
2020-05-18,178575990637.5
2020-05-17,177519668428.125
2020-05-16,171806658300.0
2020-05-15,174169253700.0
2020-05-14,179758966040.625
2020-05-13,171409485406.25
2020-05-12,161404772546.875
2020-05-11,158401956890.625
2020-05-10,160656025900.0
2020-05-09,176481852068.75
2020-05-08,184106685093.75
2020-05-07,181600214025.0
2020-05-06,170664428812.5
2020-05-05,164798760350.0
2020-05-04,164154827250.0
2020-05-03,163248718006.25
2020-05-02,163862503825.0
2020-05-01,162892364175.0
2020-04-30,159673559081.25
2020-04-29,160777514275.0
2020-04-28,141952516706.25
2020-04-27,141531926100.0
2020-04-26,139903809356.25
2020-04-25,138413590875.0
2020-04-24,137532359343.75
2020-04-23,138744749531.25
2020-04-22,130515275656.25
2020-04-21,126361434250.0
2020-04-20,124054068512.5
2020-04-19,131366871625.0
2020-04-18,133343438962.5
2020-04-17,129753063618.75
2020-04-16,128604200612.5
2020-04-15,123854372850.0
2020-04-14,126331774425.0
2020-04-13,124594360000.0
2020-04-12,128145797343.75
2020-04-11,124384312500.0
2020-04-10,125416413412.5
2020-04-09,133633938200.0
2020-04-08,134579389262.5
2020-04-07,131218327925.0
2020-04-06,132676440243.75
2020-04-05,124424205150.0
2020-04-04,123632645400.0
2020-04-03,123382798087.5
2020-04-02,124039009281.25
2020-04-01,120705728150.0
2020-03-31,117908974781.25
2020-03-30,119453767875.0
2020-03-29,107971925750.0
2020-03-28,113839795237.5
2020-03-27,121586264937.5
2020-03-26,122798552906.25
2020-03-25,120571872912.5
2020-03-24,122216940000.0
2020-03-23,114280860487.5
2020-03-22,108495493356.25
2020-03-21,114082359500.0
2020-03-20,112152415068.75
2020-03-19,113670337837.5
2020-03-18,94716536062.5
2020-03-17,97446038343.75
2020-03-16,90765219550.0
2020-03-15,96906347525.0
2020-03-14,100350995875.0
2020-03-13,101262087637.5
2020-03-12,106015798968.75
2020-03-11,142088199637.5
2020-03-10,143510064650.0
2020-03-09,143470396400.0
2020-03-08,151352672281.25
2020-03-07,166160711162.5
2020-03-06,165962190456.25
2020-03-05,166828903637.5
2020-03-04,159658276562.5
2020-03-03,159200092837.5
2020-03-02,161633164400.0
2020-03-01,156188756000.0
2020-02-29,155692527500.0
2020-02-28,157326554000.0
2020-02-27,161778098650.0
2020-02-26,160210827000.0
2020-02-25,170672719219.0
2020-02-24,174776472462.5
2020-02-23,180449440931.0
2020-02-22,176612536388.0
2020-02-21,177330622687.5
2020-02-20,175010988412.0
2020-02-19,181291498556.0
2020-02-18,176119756000.0
2020-02-17,175698380206.0
2020-02-16,177863559388.0
2020-02-15,186778881300.0
2020-02-14,187994717288.0
2020-02-13,186838050262.0
2020-02-12,189235797375.0
2020-02-11,187348515638.0
2020-02-10,178962706000.0
2020-02-09,184480669700.0
2020-02-08,179355925625.0
2020-02-07,178155230925.0
2020-02-06,175277964531.25
2020-02-05,174386536369.0
2020-02-04,166821543725.0
2020-02-03,173223247662.5
2020-02-02,170728661250.0
2020-02-01,170774632925.0
2020-01-31,172343191950.0
2020-01-30,173613830300.0
2020-01-29,169893070181.0
2020-01-28,164561946850.0
2020-01-27,159564611544.0
2020-01-26,155807033450.0
2020-01-25,150813330631.25
2020-01-24,154427992556.0
2020-01-23,152420433750.0
2020-01-22,158200805700.0
2020-01-21,159003013650.0
2020-01-20,156988555925.0
2020-01-19,155899672500.0
2020-01-18,162301259618.75
2020-01-17,161372797425.0
2020-01-16,157749491694.0
2020-01-15,158964764906.25
2020-01-14,160768371344.0
2020-01-13,147514636500.0
2020-01-12,147904478200.0
2020-01-11,148154591544.0
2020-01-10,146823384900.0
2020-01-09,144519555825.0
2020-01-08,146139572700.0
2020-01-07,143514044712.5
2020-01-06,136678342375.0
2020-01-05,134761310469.0
2020-01-04,133103167187.5
2020-01-03,132471764338.0
2020-01-02,125847564138.0
2020-01-01,130569120000.0
